Location,state_abbr,fips,Density_perSquare_mile,Pop,Total Number of COVID-19 Tests with Results,Share of Tests with Positive COVID-19 Results,"Number of Tests with Results per 1,000 Population","Hospital Beds per 10,000 Population",Number of COVID-19 Cases,"COVID-19 Cases per 1,000,000 Population",Deaths from COVID-19,"COVID-19 Deaths per 1,000,000 Population",Total Hospital Beds,"Hospital Beds per 10,000 Population",ICU Beds,"ICU Beds per 10,000 Population","Total number, adults 18 and older","Number at risk, adults 18 and older","At-risk adults, as a share of all adults ages 18 and older","Total number, adults under age 60","Number at risk due to health conditions,adults under age 60",Adults under age 60__Share of adults under age 60 at risk,"Adults age 60 and older__Total number, adults age 60 and older","Adults age 60 and older__Older adults, as a share of all at-risk adults",First case reported date
Hawaii,HI,15,219.9419,1412687,28040,0.021434,19.8,20.9,601.00,424,13,9,2835,20.9,219,2.6,1122170,461390,0.411,770334,109550,0.142,351840,0.763,3/6/2020
Idaho,ID,16,22.0969,1826156,19361,0.096586,10.8,19,1870.00,1046,54,30,3269,19,333,1.6,1310470,542100,0.414,912172,143790,0.158,398300,0.735,3/13/2020
Illinois,IL,17,228.0243,12659682,189632,0.209131,15,24.1,41778.00,3297,1874,148,29984,24.1,3426,1.9,9910660,3930010,0.397,7044811,1064160,0.151,2865850,0.729,1/24/2020
Indiana,IN,18,188.281,6745354,75553,NA,11.2,25,13681.00,2032,741,110,16194,25,2358,2.8,5141870,2203010,0.428,3621951,683090,0.189,1519920,0.69,3/6/2020
Iowa,IA,19,56.9284,3179849,31973,0.139024,10.1,27.7,5094.00,1615,112,35,8468,27.7,622,3.6,2434240,1002750,0.412,1668131,236630,0.142,766110,0.764,3/8/2020
Kansas,KS,20,35.5968,2910357,23588,NA,8.1,29,3121.00,1071,119,41,8161,29,878,2,2212590,903980,0.409,1544045,235430,0.152,668540,0.74,3/7/2020
Kentucky,KY,21,113.9566,4499692,44962,0.084049,10.1,32.1,3779.00,846,200,45,13872,32.1,1447,3.1,3471410,1579790,0.455,2384137,492520,0.207,1087270,0.688,3/6/2020
Louisiana,LA,22,107.5175,4645184,143716,0.181886,30.9,31.6,26512.00,5703,1707,367,14279,31.6,1518,3.3,3595230,1553670,0.432,2551197,509640,0.2,1044030,0.672,3/9/2020
Maine,ME,23,43.6336,1345790,17749,0.054369,13.2,25.7,965.00,718,47,35,3335,25.7,288,3.4,1089320,514050,0.472,700623,125360,0.179,388690,0.756,3/12/2020
Maryland,MD,24,626.6731,6083116,84716,0.196138,14,18.1,17766.00,2939,875,145,10613,18.1,1227,2.2,4750690,1911910,0.402,3376067,537290,0.159,1374620,0.719,3/5/2020
Massachusetts,MA,25,894.4355,6976597,215213,NA,31.2,21.8,50969.00,7395,2556,371,14486,21.8,1555,2.1,5539860,2160430,0.39,3872650,493230,0.127,1667210,0.772,2/28/2020
